CERCID,SITE,SELFGAME,DISTANT,PROXIM,DIEPUN,OMNI.BG,AGE,SEX,CHILDREN,FORMALED,HONSAL,DISSAL,HONBIN,DISBIN,HONDIS,TREATMENT,INGFIRST,gamecheck,gmcheck.imp,HADZA
CERC238,Lovu,1,16,14,1,1,22,0,1,8,0.333333333,1,1,1,2,0,0,0,0,0
CERC239,Lovu,1,11,19,1,1,NA,0,2,NA,NA,0.5,0,1,1,0,0,0,0,0
CERC24,Coastal Tanna,1,16,14,0,1,23,1,0,10,1,NA,1,0,1,0,0,0,0,0
CERC240,Lovu,1,18,12,1,1,30,0,2,11,NA,NA,0,0,0,1,1,0,0,0
CERC241,Lovu,1,19,11,0.5,1,78,1,6,0,1,0.333333333,1,1,2,0,1,1,1,0
CERC242,Lovu,1,15,15,1,1,49,1,2,6,0.5,0.333333333,1,1,2,0,1,0,0,0
CERC243,Lovu,1,14,16,1,1,53,0,3,10,NA,NA,0,0,0,1,0,0,0,0
CERC244,Lovu,1,16,14,0.5,1,19,0,0,12,NA,NA,0,0,0,1,1,1,1,0
CERC245,Lovu,1,10,20,1,1,33,1,0,12,0.4,NA,1,0,1,0,0,0,0,0
CERC246,Lovu,1,15,15,1,1,42,0,2,8,NA,NA,0,0,0,1,0,0,0,0
CERC247,Lovu,1,15,15,1,1,55,0,2,7,NA,NA,0,0,0,1,0,0,0,0
CERC248,Lovu,1,14,16,1,1,20,0,NA,12,0.333333333,0.333333333,1,1,2,0,1,0,0,0
CERC249,Lovu,1,14,16,0.5,1,50,0,2,10,NA,0.666666667,0,1,1,0,1,0,0,0
CERC25,Coastal Tanna,1,10,20,1,1,60,1,4,6,NA,0.8,0,1,1,0,1,0,0,0
CERC250,Lovu,1,13,17,1,1,45,0,3,8,1,0.5,1,1,2,0,0,0,0,0
CERC251,Lovu,1,15,15,0.5,1,60,0,3,6,NA,0.5,0,1,1,1,1,1,1,0
CERC252,Lovu,1,15,15,1,1,36,0,1,12,1,NA,1,0,1,1,1,0,0,0
CERC253,Lovu,1,16,14,1,1,22,1,1,11,NA,NA,0,0,0,0,0,0,0,0
CERC254,Lovu,1,19,11,0.5,0.5,27,0,2,10,0.666666667,1,1,1,2,1,1,0,0,0
